"DATE","DEATHS","AVERAGE"
"2021-04-15",42,39
"2021-04-16",45,39.142857142857146
"2021-04-17",30,36.857142857142854
"2021-04-18",34,38.57142857142857
"2021-04-19",50,39.57142857142857
"2021-04-20",36,39.42857142857143
"2021-04-21",36,39
"2021-04-22",43,39.142857142857146
"2021-04-23",42,38.714285714285715
"2021-04-24",36,39.57142857142857
"2021-04-25",39,40.285714285714285
"2021-04-26",44,39.42857142857143
"2021-04-27",26,38
"2021-04-28",49,39.857142857142854
"2021-04-29",46,40.285714285714285
"2021-04-30",33,39
"2021-05-01",28,37.857142857142854
"2021-05-02",34,37.142857142857146
"2021-05-03",43,37
"2021-05-04",40,39
"2021-05-05",38,37.42857142857143
"2021-05-06",38,36.285714285714285
"2021-05-07",26,35.285714285714285
"2021-05-08",42,37.285714285714285
"2021-05-09",32,37
"2021-05-10",28,34.857142857142854
"2021-05-11",17,31.571428571428573
"2021-05-12",19,28.857142857142858
"2021-05-13",21,26.428571428571427
"2021-05-14",20,25.571428571428573
"2021-05-15",22,22.714285714285715
"2021-05-16",17,20.571428571428573
"2021-05-17",24,20
"2021-05-18",17,20
"2021-05-19",25,20.857142857142858
"2021-05-20",16,20.142857142857142
"2021-05-21",19,20
"2021-05-22",18,19.428571428571427
"2021-05-23",11,18.571428571428573
"2021-05-24",19,17.857142857142858
"2021-05-25",16,17.714285714285715
"2021-05-26",14,16.142857142857142
"2021-05-27",6,14.714285714285714
"2021-05-28",11,13.571428571428571
"2021-05-29",16,13.285714285714286
"2021-05-30",18,14.285714285714286
"2021-05-31",14,13.571428571428571
"2021-06-01",11,12.857142857142858
"2021-06-02",16,13.142857142857142
"2021-06-03",15,14.428571428571429
"2021-06-04",10,14.285714285714286
"2021-06-05",13,13.857142857142858
"2021-06-06",7,12.285714285714286
"2021-06-07",5,11
"2021-06-08",13,11.285714285714286
"2021-06-09",6,9.857142857142858
"2021-06-10",7,8.714285714285714
"2021-06-11",9,8.571428571428571
"2021-06-12",6,7.571428571428571
"2021-06-13",4,7.142857142857143
"2021-06-14",5,7.142857142857143
"2021-06-15",6,6.142857142857143
"2021-06-16",6,6.142857142857143
"2021-06-17",7,6.142857142857143
"2021-06-18",9,6.142857142857143
"2021-06-19",6,6.142857142857143
"2021-06-20",3,6
"2021-06-21",5,6
"2021-06-22",3,5.571428571428571
"2021-06-23",5,5.428571428571429
"2021-06-24",5,5.142857142857143
"2021-06-25",5,4.571428571428571
"2021-06-26",2,4
"2021-06-27",3,4
"2021-06-28",2,3.5714285714285716
"2021-06-29",5,3.857142857142857
"2021-06-30",2,3.4285714285714284
"2021-07-01",5,3.4285714285714284
"2021-07-02",3,3.142857142857143
"2021-07-03",3,3.2857142857142856
"2021-07-04",2,3.142857142857143
"2021-07-05",3,3.2857142857142856
"2021-07-06",1,2.7142857142857144
"2021-07-07",0,2.4285714285714284
"2021-07-08",2,2
"2021-07-09",2,1.8571428571428572
"2021-07-10",5,2.142857142857143
"2021-07-11",0,1.8571428571428572
"2021-07-12",2,1.7142857142857142
"2021-07-13",0,1.5714285714285714
"2021-07-14",1,1.7142857142857142
"2021-07-15",2,1.7142857142857142
"2021-07-16",2,1.7142857142857142
"2021-07-17",0,1
"2021-07-18",2,1.2857142857142858
"2021-07-19",0,1
"2021-07-20",0,1
"2021-07-21",3,1.2857142857142858
"2021-07-22",4,1.5714285714285714
"2021-07-23",2,1.5714285714285714
"2021-07-24",3,2
"2021-07-25",2,2
"2021-07-26",1,2.142857142857143
"2021-07-27",4,2.7142857142857144
"2021-07-28",1,2.4285714285714284
"2021-07-29",6,2.7142857142857144
"2021-07-30",6,3.2857142857142856
"2021-07-31",3,3.2857142857142856
"2021-08-01",1,3.142857142857143
"2021-08-02",5,3.7142857142857144
"2021-08-03",5,3.857142857142857
"2021-08-04",4,4.285714285714286
"2021-08-05",3,3.857142857142857
"2021-08-06",3,3.4285714285714284
"2021-08-07",3,3.4285714285714284
"2021-08-08",3,3.7142857142857144
"2021-08-09",5,3.7142857142857144
"2021-08-10",2,3.2857142857142856
"2021-08-11",2,3
"2021-08-12",3,3
"2021-08-13",5,3.2857142857142856
"2021-08-14",4,3.4285714285714284
"2021-08-15",2,3.2857142857142856
"2021-08-16",4,3.142857142857143
"2021-08-17",3,3.2857142857142856
"2021-08-18",4,3.5714285714285716
"2021-08-19",9,4.428571428571429
"2021-08-20",9,5
"2021-08-21",7,5.428571428571429
"2021-08-22",7,6.142857142857143
"2021-08-23",3,6
"2021-08-24",6,6.428571428571429
"2021-08-25",7,6.857142857142857
"2021-08-26",6,6.428571428571429
"2021-08-27",5,5.857142857142857
"2021-08-28",4,5.428571428571429
"2021-08-29",4,5
"2021-08-30",5,5.285714285714286
"2021-08-31",4,5
"2021-09-01",7,5
"2021-09-02",6,5
"2021-09-03",6,5.142857142857143
"2021-09-04",10,6
"2021-09-05",8,6.571428571428571
"2021-09-06",7,6.857142857142857
"2021-09-07",9,7.571428571428571
"2021-09-08",9,7.857142857142857
"2021-09-09",6,7.857142857142857
"2021-09-10",7,8
"2021-09-11",7,7.571428571428571
"2021-09-12",7,7.428571428571429
"2021-09-13",7,7.428571428571429
"2021-09-14",8,7.285714285714286
"2021-09-15",7,7
"2021-09-16",1,6.285714285714286
"2021-09-17",5,6
"2021-09-18",9,6.285714285714286
"2021-09-19",7,6.285714285714286
"2021-09-20",6,6.142857142857143
"2021-09-21",5,5.714285714285714
"2021-09-22",11,6.285714285714286
"2021-09-23",11,7.714285714285714
"2021-09-24",7,8
"2021-09-25",7,7.714285714285714
"2021-09-26",7,7.714285714285714
"2021-09-27",13,8.714285714285714
"2021-09-28",7,9
"2021-09-29",7,8.428571428571429
"2021-09-30",11,8.428571428571429
"2021-10-01",6,8.285714285714286
"2021-10-02",8,8.428571428571429
"2021-10-03",8,8.571428571428571
"2021-10-04",5,7.428571428571429
"2021-10-05",14,8.428571428571429
"2021-10-06",13,9.285714285714286
"2021-10-07",11,9.285714285714286
"2021-10-08",7,9.428571428571429
"2021-10-09",11,9.857142857142858
"2021-10-10",4,9.285714285714286
"2021-10-11",18,11.142857142857142
"2021-10-12",13,11
"2021-10-13",8,10.285714285714286
"2021-10-14",10,10.142857142857142
"2021-10-15",15,11.285714285714286
"2021-10-16",14,11.714285714285714
"2021-10-17",8,12.285714285714286
