"DATE","NEW_IN","AVERAGE"
"2021-11-10",291,205.42857142857142
"2021-11-11",227,209.14285714285714
"2021-11-12",177,208.85714285714286
"2021-11-13",283,223.85714285714286
"2021-11-14",209,231.71428571428572
"2021-11-15",209,236.57142857142858
"2021-11-16",288,240.57142857142858
"2021-11-17",318,244.42857142857142
"2021-11-18",295,254.14285714285714
"2021-11-19",312,273.42857142857144
"2021-11-20",294,275
"2021-11-21",251,281
"2021-11-22",243,285.85714285714283
"2021-11-23",369,297.42857142857144
"2021-11-24",344,301.14285714285717
"2021-11-25",354,309.57142857142856
"2021-11-26",323,311.14285714285717
"2021-11-27",322,315.14285714285717
"2021-11-28",245,314.2857142857143
"2021-11-29",277,319.14285714285717
"2021-11-30",386,321.57142857142856
"2021-12-01",350,322.42857142857144
"2021-12-02",325,318.2857142857143
"2021-12-03",298,314.7142857142857
"2021-12-04",312,313.2857142857143
"2021-12-05",226,310.57142857142856
"2021-12-06",208,300.7142857142857
"2021-12-07",332,293
"2021-12-08",295,285.14285714285717
"2021-12-09",309,282.85714285714283
"2021-12-10",292,282
"2021-12-11",265,275.2857142857143
"2021-12-12",207,272.57142857142856
"2021-12-13",186,269.42857142857144
"2021-12-14",288,263.14285714285717
"2021-12-15",231,254
"2021-12-16",186,236.42857142857142
"2021-12-17",179,220.28571428571428
"2021-12-18",175,207.42857142857142
"2021-12-19",130,196.42857142857142
"2021-12-20",141,190
"2021-12-21",171,173.28571428571428
"2021-12-22",170,164.57142857142858
"2021-12-23",146,158.85714285714286
"2021-12-24",125,151.14285714285714
"2021-12-25",134,145.28571428571428
"2021-12-26",109,142.28571428571428
"2021-12-27",95,135.71428571428572
"2021-12-28",169,135.42857142857142
"2021-12-29",146,132
"2021-12-30",164,134.57142857142858
"2021-12-31",159,139.42857142857142
"2022-01-01",154,142.28571428571428
"2022-01-02",150,148.14285714285714
"2022-01-03",151,156.14285714285714
"2022-01-04",217,163
"2022-01-05",191,169.42857142857142
"2022-01-06",180,171.71428571428572
"2022-01-07",189,176
"2022-01-08",201,182.71428571428572
"2022-01-09",156,183.57142857142858
"2022-01-10",140,182
"2022-01-11",199,179.42857142857142
"2022-01-12",209,182
"2022-01-13",189,183.28571428571428
"2022-01-14",234,189.71428571428572
"2022-01-15",266,199
"2022-01-16",163,200
"2022-01-17",176,205.14285714285714
"2022-01-18",296,219
"2022-01-19",310,233.42857142857142
"2022-01-20",346,255.85714285714286
"2022-01-21",344,271.57142857142856
"2022-01-22",318,279
"2022-01-23",278,295.42857142857144
"2022-01-24",309,314.42857142857144
"2022-01-25",413,331.14285714285717
"2022-01-26",347,336.42857142857144
"2022-01-27",412,345.85714285714283
"2022-01-28",417,356.2857142857143
"2022-01-29",360,362.2857142857143
"2022-01-30",265,360.42857142857144
"2022-01-31",335,364.14285714285717
"2022-02-01",424,365.7142857142857
"2022-02-02",363,368
"2022-02-03",391,365
"2022-02-04",338,353.7142857142857
"2022-02-05",307,346.14285714285717
"2022-02-06",286,349.14285714285717
"2022-02-07",294,343.2857142857143
"2022-02-08",301,325.7142857142857
"2022-02-09",295,316
"2022-02-10",263,297.7142857142857
"2022-02-11",321,295.2857142857143
"2022-02-12",282,291.7142857142857
"2022-02-13",202,279.7142857142857
"2022-02-14",160,260.57142857142856
"2022-02-15",303,260.85714285714283
"2022-02-16",242,253.28571428571428
"2022-02-17",213,246.14285714285714
"2022-02-18",200,228.85714285714286
"2022-02-19",202,217.42857142857142
"2022-02-20",148,209.71428571428572
"2022-02-21",160,209.71428571428572
"2022-02-22",194,194.14285714285714
"2022-02-23",186,186.14285714285714
"2022-02-24",166,179.42857142857142
"2022-02-25",148,172
"2022-02-26",114,159.42857142857142
"2022-02-27",83,150.14285714285714
"2022-02-28",112,143.28571428571428
"2022-03-01",160,138.42857142857142
"2022-03-02",168,135.85714285714286
"2022-03-03",144,132.71428571428572
"2022-03-04",151,133.14285714285714
"2022-03-05",129,135.28571428571428
"2022-03-06",121,140.71428571428572
"2022-03-07",116,141.28571428571428
"2022-03-08",174,143.28571428571428
"2022-03-09",162,142.42857142857142
"2022-03-10",150,143.28571428571428
"2022-03-11",160,144.57142857142858
"2022-03-12",160,149
"2022-03-13",102,146.28571428571428
"2022-03-14",162,152.85714285714286
"2022-03-15",200,156.57142857142858
"2022-03-16",190,160.57142857142858
"2022-03-17",169,163.28571428571428
"2022-03-18",204,169.57142857142858
"2022-03-19",158,169.28571428571428
"2022-03-20",143,175.14285714285714
"2022-03-21",145,172.71428571428572
"2022-03-22",231,177.14285714285714
"2022-03-23",234,183.42857142857142
"2022-03-24",209,189.14285714285714
"2022-03-25",224,192
"2022-03-26",202,198.28571428571428
"2022-03-27",173,202.57142857142858
"2022-03-28",180,207.57142857142858
"2022-03-29",261,211.85714285714286
"2022-03-30",236,212.14285714285714
"2022-03-31",268,220.57142857142858
"2022-04-01",232,221.71428571428572
"2022-04-02",199,221.28571428571428
"2022-04-03",159,219.28571428571428
"2022-04-04",157,216
"2022-04-05",304,222.14285714285714
"2022-04-06",217,219.42857142857142
"2022-04-07",244,216
"2022-04-08",232,216
"2022-04-09",208,217.28571428571428
"2022-04-10",150,216
"2022-04-11",200,222.14285714285714
"2022-04-12",274,217.85714285714286
"2022-04-13",260,224
"2022-04-14",242,223.71428571428572
"2022-04-15",203,219.57142857142858
"2022-04-16",202,218.71428571428572
"2022-04-17",147,218.28571428571428
"2022-04-18",145,210.42857142857142
"2022-04-19",197,199.42857142857142
"2022-04-20",222,194
"2022-04-21",200,188
"2022-04-22",197,187.14285714285714
"2022-04-23",179,183.85714285714286
"2022-04-24",113,179
"2022-04-25",125,176.14285714285714
"2022-04-26",194,175.71428571428572
"2022-04-27",166,167.71428571428572
"2022-04-28",151,160.71428571428572
"2022-04-29",137,152.14285714285714
"2022-04-30",138,146.28571428571428
"2022-05-01",77,141.14285714285714
"2022-05-02",110,139
"2022-05-03",186,137.85714285714286
"2022-05-04",125,132
"2022-05-05",172,135
"2022-05-06",120,132.57142857142858
"2022-05-07",106,128
"2022-05-08",80,128.42857142857142
"2022-05-09",89,125.42857142857143
"2022-05-10",172,123.42857142857143
"2022-05-11",118,122.42857142857143
"2022-05-12",101,112.28571428571429
"2022-05-13",86,107.42857142857143
"2022-05-14",86,104.57142857142857
"2022-05-15",82,104.85714285714286
"2022-05-16",74,102.71428571428571
"2022-05-17",119,95.14285714285714
"2022-05-18",92,91.42857142857143
"2022-05-19",81,88.57142857142857
"2022-05-20",91,89.28571428571429
"2022-05-21",60,85.57142857142857
"2022-05-22",51,81.14285714285714
"2022-05-23",63,79.57142857142857
"2022-05-24",93,75.85714285714286
"2022-05-25",77,73.71428571428571
"2022-05-26",69,72
"2022-05-27",52,66.42857142857143
"2022-05-28",58,66.14285714285714
